TESTOPID	TESTNAME	TESTSTART	TESTEND	PRODUCTTESTID	SERIALNUMBER	REVTIMEORDER	OPERATIONREPORT	FIRMWARE_VERSION	KALMAN_FILTER	MAG_DECL	ACC_GAIN_X	ACC_GAIN_Y	ACC_GAIN_Z	ACC_OFFSET_X	ACC_OFFSET_Y	ACC_OFFSET_Z	GYRO_GAIN_X	GYRO_GAIN_Y	GYRO_GAIN_Z	MAG_XMIN	MAG_XMAX	MAG_YMIN	MAG_YMAX	MAG_ZMIN	MAG_ZMAX	MAG_ROT_XX	MAG_ROT_XY	MAG_ROT_XZ	MAG_ROT_YX	MAG_ROT_YY	MAG_ROT_YZ	MAG_ROT_ZX	MAG_ROT_ZY	MAG_ROT_ZZ	GYRO_ROT_XX	GYRO_ROT_XY	GYRO_ROT_XZ	GYRO_ROT_YX	GYRO_ROT_YY	GYRO_ROT_YZ	GYRO_ROT_ZX	GYRO_ROT_ZY	GYRO_ROT_ZZ	ACC_ROT_XX	ACC_ROT_XY	ACC_ROT_XZ	ACC_ROT_YX	ACC_ROT_YY	ACC_ROT_YZ	ACC_ROT_ZX	ACC_ROT_ZY	ACC_ROT_ZZ
A02883701	AHRS-CALIBRATION-v3	2020/10/27-11:22:24	2020/10/27-11:22:24	A02883702	867	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.004857	-0.0067097	0.00847	8.66	8.66	8.66	-1.0083	0.99171	-1.0221	0.97794	1.01	-0.98999	0.96763	0.018054	-0.0012386	0.018054	1.0242	-0.008069	-0.0012386	-0.008069	1.0094	1	0	0	0	1	0	0	0	1	1.0024	-0.011714	-0.024598	-0.011714	1.0057	0.0019661	-0.024598	0.0019661	0.99273
A02860166	AHRS-CALIBRATION-v3	2020/07/28-11:03:41	2020/07/28-11:03:41	A02860167	870	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.0011611	0.0019806	0.0040814	8.66	8.66	8.66	-1.0107	0.98933	-1.0673	0.93274	0.99589	-1.0041	0.97083	0.010119	-0.0069536	0.010119	1.0107	-0.010151	-0.0069536	-0.010151	1.0194	1	0	0	0	1	0	0	0	1	0.9926	-0.022927	-0.005168	-0.022927	0.98885	-0.0075968	-0.005168	-0.0075968	1.0195
A02896926	AHRS-CALIBRATION-v3	2020/11/07-12:05:26	2020/11/07-12:05:26	A02896927	871	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.018663	-0.00027967	-0.0072901	8.66	8.66	8.66	-0.9661	1.0339	-1.0236	0.97641	1.0477	-0.9523	0.98207	0.017483	-0.0078815	0.017483	1.0171	-0.01253	-0.0078815	-0.01253	1.0017	1	0	0	0	1	0	0	0	1	1.0006	-0.16852	0.006312	-0.16852	0.99204	0.0072746	0.006312	0.0072746	1.0372
A02896969	AHRS-CALIBRATION-v3	2020/11/08-11:27:08	2020/11/08-11:27:08	A02896970	872	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.014306	0.00034258	-0.018078	8.66	8.66	8.66	-0.94789	1.0521	-1.0254	0.97456	1.0474	-0.9526	0.9663	0.017388	-0.0027936	0.017388	1.0196	-0.011101	-0.0027936	-0.011101	1.0154	1	0	0	0	1	0	0	0	1	1.016	-0.12987	-0.005542	-0.12987	1.0049	-0.0036431	-0.005542	-0.0036431	0.99589
A02883703	AHRS-CALIBRATION-v3	2020/10/27-09:06:06	2020/10/27-09:06:06	A02883704	873	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.025819	-0.034195	-0.0082983	8.66	8.66	8.66	-0.96748	1.0325	-1.0177	0.98227	1.0504	-0.94965	0.96957	0.017097	-0.0060358	0.017097	1.0163	-0.0095872	-0.0060358	-0.0095872	1.0153	1	0	0	0	1	0	0	0	1	1.0169	-0.043459	0.01167	-0.043459	1.0099	-0.0068895	0.01167	-0.0068895	0.97571
A02896914	AHRS-CALIBRATION-v3	2020/11/06-10:52:15	2020/11/06-10:52:15	A02896915	874	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.017606	0.00040892	-0.00048163	8.66	8.66	8.66	-0.97077	1.0292	-1.0735	0.92655	1.0464	-0.95361	0.97743	0.015263	-0.003675	0.015263	1.0027	-0.0095417	-0.003675	-0.0095417	1.0207	1	0	0	0	1	0	0	0	1	0.98402	-0.10763	-0.0021741	-0.10763	0.9915	0.0065517	-0.0021741	0.0065517	1.0373
A02860168	AHRS-CALIBRATION-v3	2020/07/07-02:40:41	2020/07/07-02:40:41	A02860169	876	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.015793	0.0068272	0.0039149	8.66	8.66	8.66	-1.0123	0.98775	-1.0612	0.93878	1.0504	-0.94962	0.96881	0.01957	-0.0043418	0.01957	1.024	-0.0091895	-0.0043418	-0.0091895	1.0085	1	0	0	0	1	0	0	0	1	1.0043	-0.0071542	0.0016216	-0.0071542	1.0031	-0.0034469	0.0016216	-0.0034469	0.99275
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831855	877	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.023251	-0.035711	0.004972	8.66	8.66	8.66	-1.0062	0.99381	-1.0196	0.98043	1.0498	-0.95019	0.96372	0.018932	-0.0064613	0.018932	1.016	-0.013556	-0.0064613	-0.013556	1.0219	1	0	0	0	1	0	0	0	1	1.0061	-0.0026297	-0.0011345	-0.0026297	0.98755	0.0013001	-0.0011345	0.0013001	1.0065
A02883705	AHRS-CALIBRATION-v3	2020/10/27-09:06:12	2020/10/27-09:06:12	A02883706	878	1	OK	CLB	False	0.0	0.001	0.001	0.001	-0.017226	0.0088769	0.0020688	8.66	8.66	8.66	-1.0169	0.98311	-1.0235	0.97653	1.0354	-0.96465	0.9754	0.016201	-0.0060199	0.016201	1.0195	-0.0076135	-0.0060199	-0.0076135	1.0059	1	0	0	0	1	0	0	0	1	1.0182	-0.045525	0.014344	-0.045525	1.0074	0.0019288	0.014344	0.0019288	0.97704
A02831843	AHRS-CALIBRATION-v3	2020/06/24-11:22:32	2020/06/24-11:22:32	A02831856	879	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.012008	-0.0099541	0.0065636	8.66	8.66	8.66	-1.0217	0.97833	-1.0122	0.98776	1.0144	-0.98562	0.97455	0.017139	-0.0038509	0.017139	1.0105	-0.013706	-0.0038509	-0.013706	1.0159	1	0	0	0	1	0	0	0	1	0.97512	0.0059423	-0.0021513	0.0059423	0.99776	0.0020436	-0.0021513	0.0020436	1.0279
