dx,dy,dz,phi,theta,azimuth,elevation,utm_easting,utm_northing,utm_z,utm_zone,utm_reference_elipsoid,det_latitude,det_longitude,meridian_convergence,year,month,day,hour,min,sec,eq_ra,eq_dec,y2000
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,5.17381573164297,0.6333937376083948,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,6.1686102457149214,0.6334303375208864,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,0.880240064462584,0.6334455348832432,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,1.8750532628689576,0.6334255506811108,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,2.869843772823574,0.6333885767551046,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,3.8646114584368765,0.6333682103583778,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,4.85937690994898,0.6333829225518277,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,5.854162711151644,0.6334193082499351,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,0.5657876305035646,0.6334443023041126,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,1.5606041703529148,0.6334352299841863,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,2.555476126212861,0.6334003772337532,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,3.550249761676168,0.6333714276057844,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,4.545013176678643,0.6333746451929301,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,5.5397907907658475,0.6334070533366974,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,0.25140878545967227,0.6334391866348986,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,1.2462259252806303,0.6334418830715496,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,2.2410325113594975,0.6334127538992818,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,3.235813782824607,0.6333782986346839,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,4.230577975413629,0.633369793159077,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,5.22542172545528,0.6333948998518822,True
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,5.17378045040587,0.6334068163682908,False
0.0,0.0,-1.0,0.0,3.141592653589793,0.0,3.141592653589793,587600.0,4016800.0,-3450.0,33,WGS84,0.6334068163682908,0.27881923758281013,0.010073308964178896,2000,1,1,12,0,0,6.16857089496519,0.6334068163682908,False
